move,time,nodes,mean_depth
1,0.03144224499919801,2337,7.963401506996771
2,0.03215486800218059,2868,8.098958333333334
3,0.036649379500886425,3274,8.090909090909092
4,0.04392374949929945,3573,8.013559322033899
5,0.020518660499874386,2315,7.91983556012333
6,0.03390164949996688,3589,8.111414900888585
7,0.04598394599997846,3808,7.974921630094044
8,0.05817951749850181,4980,8.224032586558044
9,0.03993938449821144,3956,7.997533908754624
