,0,1,2,3
0,1.1840832027339787e-05,1.7285065088128563e-05,0.03666012132240931,1.595950293194975e-05
1,7.494963283432494e-06,0.04073346813601038,1.2786914361122944e-05,1.0505883920435712e-05
2,8.247671609458403e-06,6.050850824379599e-05,0.045259409040011564,1.5270314528410632e-05
3,5.096779799652271e-06,0.0446421264990188,1.3929924687180848e-05,1.2578121719505264e-05
4,7.081381505233538e-06,0.03934724968901546,3.160436934298958e-05,8.58420686601289e-06
5,1.604596277822633e-05,2.2121070391723575e-05,0.08372925951437765,1.0782133033972835e-05
6,9.129293336445539e-06,0.09448367807632552,1.2132946166629136e-05,2.5798077685701726e-05
7,4.097132612596666e-06,0.062831615868843,3.077339114380251e-05,2.3294164694614394e-06
8,4.766525059219332e-06,2.6273760289132602e-05,1.1007787804137963e-05,7.875826639779694e-06
9,2.337818704019005e-06,0.00010642174647217773,4.088402045833506e-05,1.3305395247751858e-05
10,4.07087086952528e-06,0.05481417317068074,7.002312374193875e-06,1.2454695208815733e-05
11,1.3986259824216196e-06,2.945209216879691e-05,0.06090463685631197,6.396280399104289e-06
12,4.205933539281236e-06,1.7667427147569054e-05,2.4945431995706936e-05,0.07615166470708773
13,1.838572031841444e-06,0.12643379070896227,2.8740686906092935e-05,3.4831000707489865e-05
14,3.737511676275737e-05,1.3837226207582723e-05,0.11738198359614119,9.772617188826746e-06
15,1.9016288497575031e-06,1.4128371930265846e-05,0.055960407305133554,2.821443713494173e-07
16,1.624389419827919e-06,1.1946749720041443e-06,3.2332542481653646e-06,3.3994573462590742e-06
17,4.460988563285343e-06,8.87764167041454e-07,2.6039966766516824e-06,7.616158118996281e-06
18,1.9106946601714465e-06,2.047528623251247e-07,2.2792699206022004e-05,2.3527599818394776e-06
19,0.0,0.0,0.0,0.0
20,5.081928566047657e-07,8.034254197403811e-06,1.0249337852086737e-05,3.293103815944791e-05
21,1.3590085561453264e-07,2.0137778693566832e-05,1.574647768826612e-06,0.1404819896766249
22,1.2365719316027267e-06,7.974066913439483e-05,0.15609109964069448,3.0974302915887756e-06
23,0.1763500251992252,2.366189709178585e-05,0.0,4.3713626417997487e-07
24,4.226435588148908e-07,4.0760053191570603e-07,9.544763193951941e-07,7.466136358395792e-07
25,3.6161042660657954e-07,3.0700958566926236e-07,1.2126414335028865e-06,1.3416524636181363e-06
26,3.8308464248699383e-07,2.8039318209071335e-07,9.351267792490562e-07,2.4242117260625576e-06
27,3.623098398035685e-10,2.329133527327002e-07,3.625769526368081e-07,4.2458055935091953e-07
28,3.7774787263484634e-06,5.7806567299695146e-08,1.6827215893616914e-06,9.598567558383368e-08
29,0.0,0.0,0.0,0.0
30,1.1684567080395995e-07,0.0,0.28711936631197205,0.0
31,0.20008107797294827,0.0,0.0,0.0
32,2.0316921341858996e-07,3.9000270933785915e-08,5.8537567585973113e-08,8.746173263766518e-08
33,7.622483351207639e-08,3.26649370034754e-08,1.3006513077588037e-07,1.1824619071605878e-07
34,9.654151523639372e-08,1.8006458858583164e-08,4.451167692290509e-08,2.1039441278330593e-07
35,0.0,0.0,0.0,0.0
36,0.0,1.718735362856556e-05,5.650607710482587e-06,1.8866040275804565e-07
37,0.0,0.028348355390451725,0.0,0.0
38,1.2982852311551104e-06,0.6688073394495397,0.0,0.0
39,0.0,0.7431192660550447,0.0,0.0
40,1.0824712007611834e-08,4.874415956904065e-10,1.1275422858321722e-08,2.1505191252830356e-08
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,2.5327607989034377e-07,0.0,8.510177989845296e-08
44,8.510177989845298e-09,2.3134107452673906e-06,2.59016730290695e-06,6.366260118874345e-07
45,1.8004432636276277e-05,6.629288236980448e-08,0.0,0.00046137791105630327
46,0.0,0.0,0.0,0.0
47,0.8256880733944947,0.0,0.0,0.0
48,1.0288898177725215e-11,9.833860995861672e-13,2.238907397986991e-11,5.50941601092267e-10
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,7.365875818867165e-07,1.167376953339547e-06
54,0.0,0.0,0.0,0.0
55,0.0,0.9174311926605502,0.0,0.0
56,3.899569032989694e-12,1.446259199036085e-13,1.0712501247971327e-12,2.4627981377856904e-12
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
