move,time,stdev,nodes,mean_depth
1,0.5585207001007803,0.04333119952494753,59704,8.23929035049762
2,0.5448210169997765,0.03991128189619568,63904,8.283049472830495
3,0.48370205190039994,0.021958600293820244,59704,8.23929035049762
4,0.5577088549998734,0.04422855053467732,63904,8.283049472830495
5,0.453215872200235,0.021798430130801405,55504,8.189239332096475
6,0.5135873727995204,0.021814508136024986,63904,8.283049472830495
7,0.47705440790086867,0.02534613567671654,59704,8.23929035049762
8,0.512682660399878,0.010771449535550632,63904,8.283049472830495
9,0.4815053049991548,0.016813222383315334,59704,8.23929035049762
