move,time,stdev,nodes,mean_depth
1,0.023683360799986987,0.0020733384523664252,2337,7.963401506996771
2,0.029253028700622963,0.0029720018500282615,2868,8.098958333333334
3,0.03108628769987263,0.0018823299083842908,3274,8.090909090909092
4,0.0361676524993527,0.0053917087726456465,3573,8.013559322033899
5,0.021395445900270715,0.002851339518101264,2315,7.91983556012333
6,0.033698744200228246,0.003170042460394135,3589,8.111414900888585
7,0.03589049919901299,0.0020815011031536813,3808,7.974921630094044
8,0.04656852389998676,0.005574113985486213,4980,8.224032586558044
9,0.035868954700345054,0.0026297423439322356,3956,7.997533908754624
